procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0      0 8084596 126512 3547212    0    0   327   232 2038 2356 19  9 72  0  0
 0  0      0 8066928 126512 3546540    0    0     0     4 2927 7871  3  2 95  0  0
 0  0      0 8056756 126512 3546864    0    0     0     0 1443 1409  1  0 99  0  0
 1  0      0 8039704 126512 3547280    0    0     0    96 6500 6283  3  2 96  0  0
 0  0      0 8041976 126512 3547604    0    0     0  2808 6717 6414  2  1 97  0  0
 0  0      0 8026520 126520 3544824    0    0     0   136 7176 6904  3  1 96  0  0
 0  0      0 8017720 126520 3541716    0    0     0   356 5030 4763  2  1 97  0  0
 1  0      0 8009944 126520 3541968    0    0     0     0 7184 6758  2  1 97  0  0
 0  0      0 8004768 126528 3541392    0    0     0   256 8041 7991  4  1 94  0  0
 0  0      0 7992236 126528 3541884    0    0     0     4 6571 5831  2  2 96  0  0
 2  0      0 7944496 126552 3554404    0    0     0   708 9095 9006 11  3 85  0  0
 0  0      0 8054416 126552 3554636    0    0     0     0 9223 8466  5  2 93  0  0
 0  0      0 8067772 126552 3555144    0    0     0     0 4172 4270  2  1 97  0  0
 0  0      0 8067408 126580 3554896    0    0     0   372 1332 1782  1  0 98  0  0
 0  0      0 8077348 126580 3555032    0    0     0   436 2209 2474  1  1 98  0  0
 0  0      0 8078536 126580 3550092    0    0     0   360 1432 1764  1  1 99  0  0
 0  0      0 8084108 126580 3544444    0    0     0     4 1380 1748  1  0 99  0  0
 0  0      0 8087436 126604 3544252    0    0     0   164 1760 2343  1  1 98  0  0
 0  0      0 8090460 126604 3544380    0    0     0     0 1252 1631  1  0 99  0  0
 0  0      0 8074200 126612 3544440    0    0     0   132 2071 2422  2  1 97  0  0
 0  0      0 8074980 126612 3544448    0    0     0   172 1538 1833  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8079612 126612 3544128    0    0     0     0 1413 1777  1  0 99  0  0
 0  0      0 8091844 126612 3544708    0    0     0     0 1544 1794  1  0 99  0  0
 0  0      0 8082776 126620 3545852    0    0     0   128 1601 2150  2  1 98  0  0
 0  0      0 8063572 126620 3550372    0    0     0    16 3161 3650  3  2 96  0  0
 6  0      0 8050736 126636 3554352    0    0     0   272 5885 6002  4  2 94  0  0
